# ausculte-owner.tsv -- WHERE A DOWN ROW GOES, and what would put it back to OK.
# Read by bin/ausculte.sh's --cadence filing leg (hf7y/realisateur#1207). One
# home, the bin/lib/labels.tsv shape: read at the point of use, never retyped.
#
# Columns:  probe  owner_repo  route  escalate_after  clears_when
#
# clears_when IS A PRECONDITION, NOT DOCUMENTATION. A row that cannot return to
# OK refiles forever: `fatals` counted FATAL over a never-rotated log and held
# DOWN on 25 aborts of which none were current (#1204). Under an armed filer
# that is 10 issues in 5 days, which is exactly what got the previous leg cut.
# bin/tests/ausculte-clears.test.sh drives every probe DOWN and then OK, so the
# claim in this column is a test rather than a sentence.
#
# owner_repo   <owner>/<repo>, or `from-detail` where the row itself names what
#              it is about (rot, landing, fatals). from-detail reads an
#              <owner>/<repo>#<n> out of the detail first, then matches a whole
#              WORD against lib/roster-set.sh's SWEEP -- so an account named
#              svc-wtul resolves to wtul, and `concert` does not resolve to crt.
#              Nothing resolved falls back to realisateur and the body says so:
#              a finding filed nowhere is a finding lost. `--` files nothing.
#
# route        agent       file into owner_repo, ON A MILESTONE. The dispatch
#                          gate already turns a milestoned, unassigned, unlabelled
#                          open issue into an agent run, so this leg builds no
#                          spawner. FILING WITHOUT A MILESTONE IS NOT FILING:
#                          the PULL FROZEN issues filed programmatically on
#                          2026-09-13 carried none and have sat ever since. The
#                          leg opens an `ausculte` milestone when the repo has
#                          no open one.
#              human       file with DECISION: on line 1, so `etiquette --apply`
#                          derives needs-human and the gate SUBTRACTS it -- a
#                          needs-human-only milestone is not permission
#                          (hf7y/scheduler#587). No agent burns quota on a
#                          question it cannot answer. Plus one message to Zach.
#              zaxon-only  file nothing; one message to Zach. For `channel` the
#                          relay IS the thing that is DOWN, so that send fails
#                          and says so -- the row is then the report and the exit
#                          code, and building a second path to a human is #1207's
#                          open question, not something to invent here.
#
#              Every send is fire-and-forget, once per DOWN spell. The question
#              path is not used and stays cut: 47 sent, 0 answered.
#
# escalate_after  consecutive --cadence ticks (four hours apart) the row must
#                 hold before anything is filed or sent. A CHANGE OF REASON
#                 RESTARTS THE COUNT, the same rule the paced runner's
#                 pull-block already uses. Every DOWN filed immediately last
#                 time, so transients filed; this column is the answer to that.
#
# MILESTONE POLICY IS NOT A COLUMN because it is `nearest-open` for every row:
# the open milestone with the earliest due date, else any open one. The day a
# row needs a different policy is the day this becomes a column.
#
# NOT HERE: `repo-guard`, which #1207's draft table listed. ausculte emits no
# such probe, and a row for one would be a destination for a finding that
# cannot arrive.
#
# probe	owner_repo	route	escalate_after	clears_when
channel	--	zaxon-only	1	a zaxon relay answers an MCP initialize at one of $ZAXON
hosts	--	zaxon-only	1	monkey-watch on dexter publishes watcher.verdict OK with a valid_until still in the future
routes	hf7y/realisateur	agent	3	every non-wildcard ssh Host that resolves to dexter's address names a port that selects a host, and none of them lands on the Windows sshd
arming	hf7y/scheduler	agent	3	every armed account in the published status carries a last_run inside ARMING_STALE_DAYS
roster_read	hf7y/scheduler	agent	2	the published status carries roster_read true, so every account has a roster_state
pullable	hf7y/realisateur	agent	3	every image declared in a /srv compose file on dexter resolves with dexter's own credential
promote	hf7y/wtul	agent	3	the promote container is running and has logged a completed cycle inside three times its declared interval
hygiene	hf7y/realisateur	human	2	no account holds a foreign clone, a file outside its home or a sudoers.d entry, and every account on a host shares one credential shape
propagation	hf7y/realisateur	agent	3	the channel verdict is CUT or NO_CHANGE, the newest build is inside its own cut interval, and every host pin is on it
rot	from-detail	agent	6	no answered decision is still open anywhere the sweep reaches
landing	from-detail	agent	6	every repo can land what it opens
unarmed	hf7y/realisateur	human	2	nothing newly built is unarmed and no row is past its own window
fleet	--	zaxon-only	2	every fleet host answers, a ledger is readable, no usage gate is erroring, no deployed code is frozen, and no account stopped without saying why
fatals	from-detail	agent	2	no account has logged FATAL since the last run marker in its sweep.log
handoff	hf7y/realisateur	agent	3	reprise finds no handoff merged and not yet collected
